PATH,TYPE,VALUE,MTIME
/AppEvents/EventLabels/DisNumbersSound/,SZ,Disambiguation Numbers,
/AppEvents/EventLabels/DisNumbersSound/DispFileName,SZ,@C:\Windows\System32\speech\speechux\sapi.cpl%2C-5566,
/AppEvents/EventLabels/EmptyRecycleBin,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/EmptyRecycleBin/,SZ,Empty Recycle Bin,
/AppEvents/EventLabels/EmptyRecycleBin/DispFileName,SZ,@mmres.dll%2C-5831,
/AppEvents/EventLabels/FaxBeep,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/FaxBeep/,SZ,New Fax Notification,
/AppEvents/EventLabels/FaxBeep/DispFileName,SZ,@mmres.dll%2C-5858,
/AppEvents/EventLabels/FeedDiscovered,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/FeedDiscovered/,SZ,Feed Discovered,
/AppEvents/EventLabels/FeedDiscovered/DispFileName,SZ,@ieframe.dll%2C-17315,
/AppEvents/EventLabels/HubOffSound,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/HubOffSound/,SZ,Off,
/AppEvents/EventLabels/HubOffSound/DispFileName,SZ,@C:\Windows\System32\speech\speechux\sapi.cpl%2C-5563,
/AppEvents/EventLabels/HubOnSound,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/HubOnSound/,SZ,On,
/AppEvents/EventLabels/HubOnSound/DispFileName,SZ,@C:\Windows\System32\speech\speechux\sapi.cpl%2C-5562,
/AppEvents/EventLabels/HubSleepSound,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/HubSleepSound/,SZ,Sleep,
/AppEvents/EventLabels/HubSleepSound/DispFileName,SZ,@C:\Windows\System32\speech\speechux\sapi.cpl%2C-5564,
/AppEvents/EventLabels/LowBatteryAlarm,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/LowBatteryAlarm/,SZ,Low Battery Alarm,
/AppEvents/EventLabels/LowBatteryAlarm/DispFileName,SZ,@mmres.dll%2C-5832,
/AppEvents/EventLabels/MailBeep,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/MailBeep/,SZ,Desktop Mail Notification,
/AppEvents/EventLabels/MailBeep/DispFileName,SZ,@mmres.dll%2C-5837,
/AppEvents/EventLabels/Maximize,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Maximize/,SZ,Maximize,
/AppEvents/EventLabels/Maximize/DispFileName,SZ,@mmres.dll%2C-5833,
/AppEvents/EventLabels/MenuCommand,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/MenuCommand/,SZ,Menu Command,
/AppEvents/EventLabels/MenuCommand/DispFileName,SZ,@mmres.dll%2C-5834,
/AppEvents/EventLabels/MenuPopup,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/MenuPopup/,SZ,Menu Pop-up,
/AppEvents/EventLabels/MenuPopup/DispFileName,SZ,@mmres.dll%2C-5835,
/AppEvents/EventLabels/MessageNudge,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/MessageNudge/,SZ,Message Nudge,
/AppEvents/EventLabels/MessageNudge/DispFileName,SZ,@mmres.dll%2C-5866,
/AppEvents/EventLabels/Minimize,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Minimize/,SZ,Minimize,
/AppEvents/EventLabels/Minimize/DispFileName,SZ,@mmres.dll%2C-5836,
/AppEvents/EventLabels/MisrecoSound,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/MisrecoSound/,SZ,Misrecognition,
/AppEvents/EventLabels/MisrecoSound/DispFileName,SZ,@C:\Windows\System32\speech\speechux\sapi.cpl%2C-5561,
/AppEvents/EventLabels/MoveMenuItem,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/MoveMenuItem/,SZ,Move Menu Item,
/AppEvents/EventLabels/MoveMenuItem/DispFileName,SZ,@ieframe.dll%2C-10322,
/AppEvents/EventLabels/Navigating,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Navigating/,SZ,Start Navigation,
/AppEvents/EventLabels/Navigating/DispFileName,SZ,@ieframe.dll%2C-10320,
/AppEvents/EventLabels/Notification.Default,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Default/,SZ,Notification,
/AppEvents/EventLabels/Notification.Default/DispFileName,SZ,@mmres.dll%2C-5865,
/AppEvents/EventLabels/Notification.IM,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.IM/,SZ,Instant Message Notification,
/AppEvents/EventLabels/Notification.IM/DispFileName,SZ,@mmres.dll%2C-5863,
/AppEvents/EventLabels/Notification.Looping.Alarm,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm/,SZ,Alarm 1,
/AppEvents/EventLabels/Notification.Looping.Alarm/DispFileName,SZ,@mmres.dll%2C-5888,
/AppEvents/EventLabels/Notification.Looping.Alarm/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm10,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm10/,SZ,Alarm 10,
/AppEvents/EventLabels/Notification.Looping.Alarm10/DispFileName,SZ,@mmres.dll%2C-5897,
/AppEvents/EventLabels/Notification.Looping.Alarm10/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm2,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm2/,SZ,Alarm 2,
/AppEvents/EventLabels/Notification.Looping.Alarm2/DispFileName,SZ,@mmres.dll%2C-5889,
/AppEvents/EventLabels/Notification.Looping.Alarm2/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm3,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm3/,SZ,Alarm 3,
/AppEvents/EventLabels/Notification.Looping.Alarm3/DispFileName,SZ,@mmres.dll%2C-5890,
/AppEvents/EventLabels/Notification.Looping.Alarm3/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm4,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm4/,SZ,Alarm 4,
/AppEvents/EventLabels/Notification.Looping.Alarm4/DispFileName,SZ,@mmres.dll%2C-5891,
/AppEvents/EventLabels/Notification.Looping.Alarm4/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm5,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm5/,SZ,Alarm 5,
/AppEvents/EventLabels/Notification.Looping.Alarm5/DispFileName,SZ,@mmres.dll%2C-5892,
/AppEvents/EventLabels/Notification.Looping.Alarm5/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm6,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm6/,SZ,Alarm 6,
/AppEvents/EventLabels/Notification.Looping.Alarm6/DispFileName,SZ,@mmres.dll%2C-5893,
/AppEvents/EventLabels/Notification.Looping.Alarm6/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm7,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm7/,SZ,Alarm 7,
/AppEvents/EventLabels/Notification.Looping.Alarm7/DispFileName,SZ,@mmres.dll%2C-5894,
/AppEvents/EventLabels/Notification.Looping.Alarm7/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm8,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm8/,SZ,Alarm 8,
/AppEvents/EventLabels/Notification.Looping.Alarm8/DispFileName,SZ,@mmres.dll%2C-5895,
/AppEvents/EventLabels/Notification.Looping.Alarm8/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Alarm9,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Alarm9/,SZ,Alarm 9,
/AppEvents/EventLabels/Notification.Looping.Alarm9/DispFileName,SZ,@mmres.dll%2C-5896,
/AppEvents/EventLabels/Notification.Looping.Alarm9/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call/,SZ,Incoming Call Notification 1,
/AppEvents/EventLabels/Notification.Looping.Call/DispFileName,SZ,@mmres.dll%2C-5872,
/AppEvents/EventLabels/Notification.Looping.Call/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call10,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call10/,SZ,Incoming Call Notification 10,
/AppEvents/EventLabels/Notification.Looping.Call10/DispFileName,SZ,@mmres.dll%2C-5881,
/AppEvents/EventLabels/Notification.Looping.Call10/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call2,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call2/,SZ,Incoming Call Notification 2,
/AppEvents/EventLabels/Notification.Looping.Call2/DispFileName,SZ,@mmres.dll%2C-5873,
/AppEvents/EventLabels/Notification.Looping.Call2/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call3,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call3/,SZ,Incoming Call Notification 3,
/AppEvents/EventLabels/Notification.Looping.Call3/DispFileName,SZ,@mmres.dll%2C-5874,
/AppEvents/EventLabels/Notification.Looping.Call3/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call4,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call4/,SZ,Incoming Call Notification 4,
/AppEvents/EventLabels/Notification.Looping.Call4/DispFileName,SZ,@mmres.dll%2C-5875,
/AppEvents/EventLabels/Notification.Looping.Call4/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call5,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call5/,SZ,Incoming Call Notification 5,
/AppEvents/EventLabels/Notification.Looping.Call5/DispFileName,SZ,@mmres.dll%2C-5876,
/AppEvents/EventLabels/Notification.Looping.Call5/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call6,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call6/,SZ,Incoming Call Notification 6,
/AppEvents/EventLabels/Notification.Looping.Call6/DispFileName,SZ,@mmres.dll%2C-5877,
/AppEvents/EventLabels/Notification.Looping.Call6/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call7,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call7/,SZ,Incoming Call Notification 7,
/AppEvents/EventLabels/Notification.Looping.Call7/DispFileName,SZ,@mmres.dll%2C-5878,
/AppEvents/EventLabels/Notification.Looping.Call7/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call8,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call8/,SZ,Incoming Call Notification 8,
/AppEvents/EventLabels/Notification.Looping.Call8/DispFileName,SZ,@mmres.dll%2C-5879,
/AppEvents/EventLabels/Notification.Looping.Call8/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Looping.Call9,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Looping.Call9/,SZ,Incoming Call Notification 9,
/AppEvents/EventLabels/Notification.Looping.Call9/DispFileName,SZ,@mmres.dll%2C-5880,
/AppEvents/EventLabels/Notification.Looping.Call9/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/Notification.Mail,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Mail/,SZ,New Mail Notification,
/AppEvents/EventLabels/Notification.Mail/DispFileName,SZ,@mmres.dll%2C-5861,
/AppEvents/EventLabels/Notification.Proximity,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Proximity/,SZ,NFP Completion,
/AppEvents/EventLabels/Notification.Proximity/DispFileName,SZ,@mmres.dll%2C-5868,
/AppEvents/EventLabels/Notification.Reminder,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.Reminder/,SZ,Calendar Reminder,
/AppEvents/EventLabels/Notification.Reminder/DispFileName,SZ,@mmres.dll%2C-5864,
/AppEvents/EventLabels/Notification.SMS,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Notification.SMS/,SZ,New Text Message Notification,
/AppEvents/EventLabels/Notification.SMS/DispFileName,SZ,@mmres.dll%2C-5862,
/AppEvents/EventLabels/Open,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/Open/,SZ,Open Program,
/AppEvents/EventLabels/Open/DispFileName,SZ,@mmres.dll%2C-5839,
/AppEvents/EventLabels/PanelSound,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/PanelSound/,SZ,Disambiguation Panel,
/AppEvents/EventLabels/PanelSound/DispFileName,SZ,@C:\Windows\System32\speech\speechux\sapi.cpl%2C-5565,
/AppEvents/EventLabels/PrintComplete,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/PrintComplete/,SZ,Print Complete,
/AppEvents/EventLabels/PrintComplete/DispFileName,SZ,@mmres.dll%2C-5840,
/AppEvents/EventLabels/ProximityConnection,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/ProximityConnection/,SZ,NFP Connection,
/AppEvents/EventLabels/ProximityConnection/DispFileName,SZ,@mmres.dll%2C-5867,
/AppEvents/EventLabels/RestoreDown,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/RestoreDown/,SZ,Restore Down,
/AppEvents/EventLabels/RestoreDown/DispFileName,SZ,@mmres.dll%2C-5841,
/AppEvents/EventLabels/RestoreUp,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/RestoreUp/,SZ,Restore Up,
/AppEvents/EventLabels/RestoreUp/DispFileName,SZ,@mmres.dll%2C-5842,
/AppEvents/EventLabels/SecurityBand,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SecurityBand/,SZ,Information Bar,
/AppEvents/EventLabels/SecurityBand/DispFileName,SZ,@ieframe.dll%2C-10326,
/AppEvents/EventLabels/ShowBand,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/ShowBand/,SZ,Show Toolbar Band,
/AppEvents/EventLabels/ShowBand/DispFileName,SZ,@ieframe.dll%2C-10324,
/AppEvents/EventLabels/SystemAsterisk,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SystemAsterisk/,SZ,Asterisk,
/AppEvents/EventLabels/SystemAsterisk/DispFileName,SZ,@mmres.dll%2C-5843,
/AppEvents/EventLabels/SystemExclamation,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SystemExclamation/,SZ,Exclamation,
/AppEvents/EventLabels/SystemExclamation/DispFileName,SZ,@mmres.dll%2C-5845,
/AppEvents/EventLabels/SystemExit,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SystemExit/,SZ,Exit Windows,
/AppEvents/EventLabels/SystemExit/DispFileName,SZ,@mmres.dll%2C-5846,
/AppEvents/EventLabels/SystemExit/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/SystemHand,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SystemHand/,SZ,Critical Stop,
/AppEvents/EventLabels/SystemHand/DispFileName,SZ,@mmres.dll%2C-5847,
/AppEvents/EventLabels/SystemNotification,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SystemNotification/,SZ,System Notification,
/AppEvents/EventLabels/SystemNotification/DispFileName,SZ,@mmres.dll%2C-5848,
/AppEvents/EventLabels/SystemQuestion,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/SystemQuestion/,SZ,Question,
/AppEvents/EventLabels/SystemQuestion/DispFileName,SZ,@mmres.dll%2C-5849,
/AppEvents/EventLabels/WindowsLogoff,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/WindowsLogoff/,SZ,Windows Logoff,
/AppEvents/EventLabels/WindowsLogoff/DispFileName,SZ,@mmres.dll%2C-5852,
/AppEvents/EventLabels/WindowsLogoff/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/WindowsLogon,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/WindowsLogon/,SZ,Windows Logon,
/AppEvents/EventLabels/WindowsLogon/DispFileName,SZ,@mmres.dll%2C-5853,
/AppEvents/EventLabels/WindowsLogon/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/EventLabels/WindowsUAC,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/WindowsUAC/,SZ,Windows User Account Control,
/AppEvents/EventLabels/WindowsUAC/DispFileName,SZ,@mmres.dll%2C-5859,
/AppEvents/EventLabels/WindowsUnlock,KEY,,2022-04-11 14:18:01
/AppEvents/EventLabels/WindowsUnlock/,SZ,Windows Unlock,
/AppEvents/EventLabels/WindowsUnlock/DispFileName,SZ,@mmres.dll%2C-5869,
/AppEvents/EventLabels/WindowsUnlock/ExcludeFromCPL,DWORD,0x00000001,
/AppEvents/Jx66ZG0O,KEY,,2022-04-11 15:17:40
/AppEvents/Jx66ZG0O/jH54NW8C,SZ,84AB553E67C743BE696A0AC80C16E2B354C2AE7918EE08A0A3887875C83E44ACA7393F1C579EE41BCB7D336CAF8695266839907F47775F89C1F170562A6B0A01C0F3BC4CB,
/AppEvents/Schemes,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/,SZ,.Default,
/AppEvents/Schemes/Apps,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/,SZ,Windows,
/AppEvents/Schemes/Apps/.Default/DispFileName,SZ,@mmres.dll%2C-5856,
/AppEvents/Schemes/Apps/.Default/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/.Default/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/.Default/.Current/,SZ,C:\Windows\media\Windows Background.wav,
/AppEvents/Schemes/Apps/.Default/.Default/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/.Default/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Background.wav,
/AppEvents/Schemes/Apps/.Default/AppGPFault,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/AppGPFault/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/AppGPFault/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/AppGPFault/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/CCSelect,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/CCSelect/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/CCSelect/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/ChangeTheme,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/ChangeTheme/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/ChangeTheme/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/ChangeTheme/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/Close,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/Close/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/Close/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/Close/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/CriticalBatteryAlarm,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/CriticalBatteryAlarm/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/CriticalBatteryAlarm/.Current/,SZ,C:\Windows\media\Windows Foreground.wav,
/AppEvents/Schemes/Apps/.Default/CriticalBatteryAlarm/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/CriticalBatteryAlarm/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Foreground.wav,
/AppEvents/Schemes/Apps/.Default/DeviceConnect,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/DeviceConnect/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/DeviceConnect/.Current/,SZ,C:\Windows\media\Windows Hardware Insert.wav,
/AppEvents/Schemes/Apps/.Default/DeviceConnect/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/DeviceConnect/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Hardware Insert.wav,
/AppEvents/Schemes/Apps/.Default/DeviceDisconnect,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/DeviceDisconnect/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/DeviceDisconnect/.Current/,SZ,C:\Windows\media\Windows Hardware Remove.wav,
/AppEvents/Schemes/Apps/.Default/DeviceDisconnect/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/DeviceDisconnect/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Hardware Remove.wav,
/AppEvents/Schemes/Apps/.Default/DeviceFail,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/DeviceFail/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/DeviceFail/.Current/,SZ,C:\Windows\media\Windows Hardware Fail.wav,
/AppEvents/Schemes/Apps/.Default/DeviceFail/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/DeviceFail/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Hardware Fail.wav,
/AppEvents/Schemes/Apps/.Default/FaxBeep,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/FaxBeep/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/FaxBeep/.Current/,SZ,C:\Windows\media\Windows Notify Email.wav,
/AppEvents/Schemes/Apps/.Default/FaxBeep/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/FaxBeep/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Notify Email.wav,
/AppEvents/Schemes/Apps/.Default/LowBatteryAlarm,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/LowBatteryAlarm/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/LowBatteryAlarm/.Current/,SZ,C:\Windows\media\Windows Background.wav,
/AppEvents/Schemes/Apps/.Default/LowBatteryAlarm/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/LowBatteryAlarm/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Background.wav,
/AppEvents/Schemes/Apps/.Default/MailBeep,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/MailBeep/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/MailBeep/.Current/,SZ,C:\Windows\media\Windows Notify Email.wav,
/AppEvents/Schemes/Apps/.Default/MailBeep/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/MailBeep/.Default/,EXPAND_SZ,%25SystemRoot%25\media\Windows Notify Email.wav,
/AppEvents/Schemes/Apps/.Default/Maximize,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/Maximize/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/Maximize/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/Maximize/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/MenuCommand,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/MenuCommand/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/MenuCommand/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/MenuCommand/.Default,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/MenuPopup,KEY,,2022-04-11 14:18:01
/AppEvents/Schemes/Apps/.Default/MenuPopup/.Current,KEY,,2022-04-11 14:18:09
/AppEvents/Schemes/Apps/.Default/MenuPopup/.Current/,SZ,,
/AppEvents/Schemes/Apps/.Default/MenuPopup/.Default,KEY,,2022-04-11 14:18:01
